feature,importance
org_balance_change_ratio,0.11727315020733936
is_full_balance_drain,0.09687893408574816
abs_org_amount_diff,0.09593967108382166
amount_exceeds_oldbalanceOrg,0.09074929590500892
org_amount_diff,0.0888214221806378
amount_to_oldbalanceOrg_ratio,0.07793318398584485
newbalanceOrig_to_oldbalanceOrg_ratio,0.05509846329362711
is_business_hours,0.05116070445245016
org_balance_change,0.04011119499525262
newbalanceOrig,0.03462738797534085
hour_of_day,0.028306942535554887
step,0.025947674539489974
is_zero_newbalanceOrig,0.02458628075948115
dest_is_customer,0.01984102881484054
dest_balance_change_ratio,0.01961015936253847
newbalanceDest_to_oldbalanceDest_ratio,0.017076925333434172
type_PAYMENT,0.015761336029492725
dest_is_merchant,0.014253859191841441
amount_to_oldbalanceDest_ratio,0.01083373213942383
oldbalanceOrg,0.0086910578195375
amount,0.0063315590238316915
dest_balance_change,0.006234250292483121
oldbalanceDest,0.006221230681644741
newbalanceDest,0.005600319528966276
log_amount,0.005097759765959779
is_zero_oldbalanceOrg,0.00506010065567027
amount_exceeds_oldbalanceDest,0.004353570751850937
balance_change_mismatch,0.004334286412192798
dest_amount_diff,0.0037825957147708013
abs_dest_amount_diff,0.0033814899558012824
type_TRANSFER,0.0028325954158194802
type_CASH_IN,0.0027107633639009052
is_large_transaction,0.002147267193526618
both_orig_balances_zero,0.0017874449369519147
is_very_large_transaction,0.0016709963282053573
both_dest_balances_zero,0.0012457442724779218
is_zero_newbalanceDest,0.0012268049269738564
type_CASH_OUT,0.0009406796092160104
is_zero_oldbalanceDest,0.0008212867925336569
is_night_transaction,0.00030913978677968784
is_extreme_transaction,0.00022928500546715803
type_DEBIT,0.00017842489426963477
is_week_boundary_proxy,0.0
day_index,0.0
orig_is_customer,0.0
